method,method_variant,seed,dataset,split,score_type,calibration_type,timestamp,accuracy,nll,ece,aurc,auroc,aupr,fpr95
edl_l0001,edl_fixed_l0001,0,cifar10,test,vacuity,none,20260305T193908Z,0.928800,nan,nan,nan,nan,nan,nan
edl_l0001,edl_fixed_l0001,0,cifar100,eval,alpha0,none,20260306T100040Z,0.928800,0.335490,0.053870,0.018132,0.839084,0.828620,0.678200
edl_l0001,edl_fixed_l0001,0,cifar100,eval,maxp,none,20260306T100040Z,0.928800,0.335490,0.053870,0.018132,0.832864,0.809236,0.678200
edl_l0001,edl_fixed_l0001,0,cifar100,eval,vacuity,none,20260306T100040Z,0.928800,0.335490,0.053870,0.018132,0.839084,0.828620,0.678200
edl_l0001,edl_fixed_l0001,0,mnist,test,vacuity,none,20260310T000151090692Z,0.995600,nan,nan,nan,nan,nan,nan
edl_l0001,edl_fixed_l0001,0,svhn,eval,alpha0,none,20260306T100040Z,0.928800,0.335490,0.053870,0.018132,0.915995,0.947615,0.269100
edl_l0001,edl_fixed_l0001,0,svhn,eval,maxp,none,20260306T100040Z,0.928800,0.335490,0.053870,0.018132,0.905461,0.939969,0.269300
edl_l0001,edl_fixed_l0001,0,svhn,eval,vacuity,none,20260306T100040Z,0.928800,0.335490,0.053870,0.018132,0.915995,0.947615,0.269100
edl_l0001,edl_fixed_l0001,1,cifar10,test,vacuity,none,20260305T215725Z,0.930300,nan,nan,nan,nan,nan,nan
edl_l0001,edl_fixed_l0001,1,cifar100,eval,alpha0,none,20260306T100058Z,0.930300,0.332858,0.049023,0.017902,0.807750,0.815108,0.823200
edl_l0001,edl_fixed_l0001,1,cifar100,eval,maxp,none,20260306T100058Z,0.930300,0.332858,0.049023,0.017902,0.804018,0.800576,0.823200
edl_l0001,edl_fixed_l0001,1,cifar100,eval,vacuity,none,20260306T100058Z,0.930300,0.332858,0.049023,0.017902,0.807750,0.815108,0.823200
edl_l0001,edl_fixed_l0001,1,mnist,test,vacuity,none,20260310T015655904001Z,0.994900,nan,nan,nan,nan,nan,nan
edl_l0001,edl_fixed_l0001,1,svhn,eval,alpha0,none,20260306T100058Z,0.930300,0.332858,0.049023,0.017902,0.808373,0.899957,0.775600
edl_l0001,edl_fixed_l0001,1,svhn,eval,maxp,none,20260306T100058Z,0.930300,0.332858,0.049023,0.017902,0.807621,0.901692,0.775600
edl_l0001,edl_fixed_l0001,1,svhn,eval,vacuity,none,20260306T100058Z,0.930300,0.332858,0.049023,0.017902,0.808373,0.899957,0.775600
edl_l0001,edl_fixed_l0001,2,mnist,test,vacuity,none,20260310T032958061777Z,0.994800,nan,nan,nan,nan,nan,nan
edl_l0001,edl_fixed_l0001,3,mnist,test,vacuity,none,20260310T052117844701Z,0.995000,nan,nan,nan,nan,nan,nan
edl_l0001,edl_fixed_l0001,4,mnist,test,vacuity,none,20260310T070817187876Z,0.994900,nan,nan,nan,nan,nan,nan
edl_l01,edl_fixed_l01,0,cifar10,test,vacuity,none,20260305T145911Z,0.931000,nan,nan,nan,nan,nan,nan
edl_l01,edl_fixed_l01,0,cifar100,eval,alpha0,none,20260306T100004Z,0.931000,1.024470,0.533703,0.026822,0.753574,0.774825,0.912200
edl_l01,edl_fixed_l01,0,cifar100,eval,maxp,none,20260306T100004Z,0.931000,1.024470,0.533703,0.026822,0.763029,0.779830,0.895300
edl_l01,edl_fixed_l01,0,cifar100,eval,vacuity,none,20260306T100004Z,0.931000,1.024470,0.533703,0.026822,0.753574,0.774825,0.912200
edl_l01,edl_fixed_l01,0,svhn,eval,alpha0,none,20260306T100004Z,0.931000,1.024470,0.533703,0.026822,0.812238,0.920904,0.949500
edl_l01,edl_fixed_l01,0,svhn,eval,maxp,none,20260306T100004Z,0.931000,1.024470,0.533703,0.026822,0.816715,0.923350,0.945900
edl_l01,edl_fixed_l01,0,svhn,eval,vacuity,none,20260306T100004Z,0.931000,1.024470,0.533703,0.026822,0.812238,0.920904,0.949500
edl_l01,edl_fixed_l01,1,cifar10,test,vacuity,none,20260305T171953Z,0.931100,nan,nan,nan,nan,nan,nan
edl_l01,edl_fixed_l01,1,cifar100,eval,alpha0,none,20260306T100022Z,0.931100,1.032365,0.538159,0.023593,0.773748,0.780341,0.908800
edl_l01,edl_fixed_l01,1,cifar100,eval,maxp,none,20260306T100022Z,0.931100,1.032365,0.538159,0.023593,0.778449,0.782656,0.896000
edl_l01,edl_fixed_l01,1,cifar100,eval,vacuity,none,20260306T100022Z,0.931100,1.032365,0.538159,0.023593,0.773748,0.780341,0.908800
edl_l01,edl_fixed_l01,1,svhn,eval,alpha0,none,20260306T100022Z,0.931100,1.032365,0.538159,0.023593,0.802666,0.906269,0.919800
edl_l01,edl_fixed_l01,1,svhn,eval,maxp,none,20260306T100022Z,0.931100,1.032365,0.538159,0.023593,0.809945,0.908956,0.899800
edl_l01,edl_fixed_l01,1,svhn,eval,vacuity,none,20260306T100022Z,0.931100,1.032365,0.538159,0.023593,0.802666,0.906269,0.919800
edl_l01,edl_l01,0,cifar10,test,,none,20260305T045501Z,0.924500,nan,nan,nan,nan,nan,nan
edl_l01,edl_l01,0,cifar100,eval,,none,20260305T012258Z,0.853500,nan,nan,nan,0.773874,nan,0.754600
edl_l01,edl_l01,0,svhn,eval,,none,20260305T012258Z,0.853500,nan,nan,nan,0.745246,nan,0.598700
edl_l01,edl_l01,1,cifar10,test,,none,20260305T053329Z,0.928100,nan,nan,nan,nan,nan,nan
edl_l01,edl_l01,1,cifar100,eval,,none,20260305T012319Z,0.852500,nan,nan,nan,0.754136,nan,0.845800
edl_l01,edl_l01,1,svhn,eval,,none,20260305T012319Z,0.852500,nan,nan,nan,0.788972,nan,0.720900
edl_l01,edl_l01,2,cifar10,test,,none,20260305T061152Z,0.925000,nan,nan,nan,nan,nan,nan
edl_l01,edl_l01,2,cifar100,eval,,none,20260305T012340Z,0.855100,nan,nan,nan,0.773701,nan,0.746400
edl_l01,edl_l01,2,svhn,eval,,none,20260305T012340Z,0.855100,nan,nan,nan,0.793952,nan,0.524800
edl_l01,edl_l01,3,cifar10,test,,none,20260305T065019Z,0.924200,nan,nan,nan,nan,nan,nan
edl_l01,edl_l01,3,cifar100,eval,,none,20260305T012401Z,0.856200,nan,nan,nan,0.762285,nan,0.830200
edl_l01,edl_l01,3,svhn,eval,,none,20260305T012401Z,0.856200,nan,nan,nan,0.827291,nan,0.539400
edl_l01,edl_l01,4,cifar10,test,,none,20260304T162703Z,0.852900,nan,nan,nan,nan,nan,nan
edl_l01,edl_l01,4,cifar100,eval,,none,20260305T012422Z,0.853000,nan,nan,nan,0.755636,nan,0.787800
edl_l01,edl_l01,4,svhn,eval,,none,20260305T012422Z,0.853000,nan,nan,nan,0.802303,nan,0.469900
edl_l1,cifar_fixed_l1_matched,0,cifar10,conf_eval,maxalpha,none,20260319T031521941199Z,0.310000,1.863867,0.027272,0.545336,nan,0.503610,nan
edl_l1,cifar_fixed_l1_matched,0,cifar10,conf_eval,maxp,none,20260319T031521941199Z,0.310000,1.863867,0.027272,0.545336,nan,0.518291,nan
edl_l1,cifar_fixed_l1_matched,0,cifar10,test,vacuity,none,20260319T030412509533Z,0.310000,nan,nan,nan,nan,nan,nan
edl_l1,cifar_fixed_l1_matched,0,cifar100,eval,alpha0,none,20260319T031521941199Z,0.310000,1.863867,0.027272,0.545336,0.517585,0.515759,0.931900
edl_l1,cifar_fixed_l1_matched,0,cifar100,eval,maxp,none,20260319T031521941199Z,0.310000,1.863867,0.027272,0.545336,0.533420,0.520426,0.931200
edl_l1,cifar_fixed_l1_matched,0,cifar100,eval,vacuity,none,20260319T031521941199Z,0.310000,1.863867,0.027272,0.545336,0.517585,0.515759,0.931900
edl_l1,cifar_fixed_l1_matched,0,svhn,eval,alpha0,none,20260319T031521941199Z,0.310000,1.863867,0.027272,0.545336,0.271174,0.584881,0.975200
edl_l1,cifar_fixed_l1_matched,0,svhn,eval,maxp,none,20260319T031521941199Z,0.310000,1.863867,0.027272,0.545336,0.623798,0.754897,0.656800
edl_l1,cifar_fixed_l1_matched,0,svhn,eval,vacuity,none,20260319T031521941199Z,0.310000,1.863867,0.027272,0.545336,0.271174,0.584882,0.975200
edl_l1,cifar_fixed_l1_matched,1,cifar10,conf_eval,maxalpha,none,20260319T051942020829Z,0.296100,1.836692,0.047704,0.551649,nan,0.384451,nan
edl_l1,cifar_fixed_l1_matched,1,cifar10,conf_eval,maxp,none,20260319T051942020829Z,0.296100,1.836692,0.047704,0.551649,nan,0.526653,nan
edl_l1,cifar_fixed_l1_matched,1,cifar10,test,vacuity,none,20260319T051006736974Z,0.296100,nan,nan,nan,nan,nan,nan
edl_l1,cifar_fixed_l1_matched,1,cifar100,eval,alpha0,none,20260319T051942020829Z,0.296100,1.836692,0.047704,0.551649,0.536428,0.515089,0.877500
edl_l1,cifar_fixed_l1_matched,1,cifar100,eval,maxp,none,20260319T051942020829Z,0.296100,1.836692,0.047704,0.551649,0.536955,0.526237,0.944900
edl_l1,cifar_fixed_l1_matched,1,cifar100,eval,vacuity,none,20260319T051942020829Z,0.296100,1.836692,0.047704,0.551649,0.536428,0.515089,0.877500
edl_l1,cifar_fixed_l1_matched,1,svhn,eval,alpha0,none,20260319T051942020829Z,0.296100,1.836692,0.047704,0.551649,0.420250,0.630416,0.796600
edl_l1,cifar_fixed_l1_matched,1,svhn,eval,maxp,none,20260319T051942020829Z,0.296100,1.836692,0.047704,0.551649,0.652190,0.782085,0.668100
edl_l1,cifar_fixed_l1_matched,1,svhn,eval,vacuity,none,20260319T051942020829Z,0.296100,1.836692,0.047704,0.551649,0.420250,0.630416,0.796600
edl_l1,cifar_fixed_l1_matched,2,cifar10,conf_eval,maxalpha,none,20260319T072922387791Z,0.315400,1.803658,0.017169,0.538062,nan,0.443879,nan
edl_l1,cifar_fixed_l1_matched,2,cifar10,conf_eval,maxp,none,20260319T072922387791Z,0.315400,1.803658,0.017169,0.538062,nan,0.529187,nan
edl_l1,cifar_fixed_l1_matched,2,cifar10,test,vacuity,none,20260319T071941098828Z,0.315400,nan,nan,nan,nan,nan,nan
edl_l1,cifar_fixed_l1_matched,2,cifar100,eval,alpha0,none,20260319T072922387791Z,0.315400,1.803658,0.017169,0.538062,0.464541,0.463328,0.937700
edl_l1,cifar_fixed_l1_matched,2,cifar100,eval,maxp,none,20260319T072922387791Z,0.315400,1.803658,0.017169,0.538062,0.584756,0.557588,0.912700
edl_l1,cifar_fixed_l1_matched,2,cifar100,eval,vacuity,none,20260319T072922387791Z,0.315400,1.803658,0.017169,0.538062,0.464541,0.463328,0.937700
edl_l1,cifar_fixed_l1_matched,2,svhn,eval,alpha0,none,20260319T072922387791Z,0.315400,1.803658,0.017169,0.538062,0.367025,0.611573,0.904700
edl_l1,cifar_fixed_l1_matched,2,svhn,eval,maxp,none,20260319T072922387791Z,0.315400,1.803658,0.017169,0.538062,0.632038,0.779328,0.620500
edl_l1,cifar_fixed_l1_matched,2,svhn,eval,vacuity,none,20260319T072922387791Z,0.315400,1.803658,0.017169,0.538062,0.367025,0.611573,0.904700
edl_l1,cifar_fixed_l1_matched,3,cifar10,conf_eval,maxalpha,none,20260319T093144657797Z,0.470900,1.493732,0.049058,0.323722,nan,0.750805,nan
edl_l1,cifar_fixed_l1_matched,3,cifar10,conf_eval,maxp,none,20260319T093144657797Z,0.470900,1.493732,0.049058,0.323722,nan,0.743100,nan
edl_l1,cifar_fixed_l1_matched,3,cifar10,test,vacuity,none,20260319T092137974473Z,0.470900,nan,nan,nan,nan,nan,nan
edl_l1,cifar_fixed_l1_matched,3,cifar100,eval,alpha0,none,20260319T093144657797Z,0.470900,1.493732,0.049058,0.323722,0.633147,0.598868,0.820400
edl_l1,cifar_fixed_l1_matched,3,cifar100,eval,maxp,none,20260319T093144657797Z,0.470900,1.493732,0.049058,0.323722,0.602844,0.581100,0.869600
edl_l1,cifar_fixed_l1_matched,3,cifar100,eval,vacuity,none,20260319T093144657797Z,0.470900,1.493732,0.049058,0.323722,0.633147,0.598868,0.820400
edl_l1,cifar_fixed_l1_matched,3,svhn,eval,alpha0,none,20260319T093144657797Z,0.470900,1.493732,0.049058,0.323722,0.647060,0.800883,0.619700
edl_l1,cifar_fixed_l1_matched,3,svhn,eval,maxp,none,20260319T093144657797Z,0.470900,1.493732,0.049058,0.323722,0.716990,0.794939,0.520400
