method,method_variant,dataset,split,score_type,accuracy_mean,accuracy_std,nll_mean,nll_std,ece_mean,ece_std,aurc_mean,aurc_std,auroc_mean,auroc_std,aupr_mean,aupr_std,fpr95_mean,fpr95_std,n
edl_l0001,edl_fixed_l0001,cifar10,test,vacuity,0.929550,0.000750,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
edl_l0001,edl_fixed_l0001,cifar100,eval,alpha0,0.929550,0.000750,0.334174,0.001316,0.051446,0.002424,0.018017,0.000115,0.823417,0.015667,0.821864,0.006756,0.750700,0.072500,2
edl_l0001,edl_fixed_l0001,cifar100,eval,maxp,0.929550,0.000750,0.334174,0.001316,0.051446,0.002424,0.018017,0.000115,0.818441,0.014423,0.804906,0.004330,0.750700,0.072500,2
edl_l0001,edl_fixed_l0001,cifar100,eval,vacuity,0.929550,0.000750,0.334174,0.001316,0.051446,0.002424,0.018017,0.000115,0.823417,0.015667,0.821864,0.006756,0.750700,0.072500,2
edl_l0001,edl_fixed_l0001,mnist,test,vacuity,0.995040,0.000287,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
edl_l0001,edl_fixed_l0001,svhn,eval,alpha0,0.929550,0.000750,0.334174,0.001316,0.051446,0.002424,0.018017,0.000115,0.862184,0.053811,0.923786,0.023829,0.522350,0.253250,2
edl_l0001,edl_fixed_l0001,svhn,eval,maxp,0.929550,0.000750,0.334174,0.001316,0.051446,0.002424,0.018017,0.000115,0.856541,0.048920,0.920831,0.019139,0.522450,0.253150,2
edl_l0001,edl_fixed_l0001,svhn,eval,vacuity,0.929550,0.000750,0.334174,0.001316,0.051446,0.002424,0.018017,0.000115,0.862184,0.053811,0.923786,0.023829,0.522350,0.253250,2
edl_l01,edl_fixed_l01,cifar10,test,vacuity,0.931050,0.000050,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
edl_l01,edl_fixed_l01,cifar100,eval,alpha0,0.931050,0.000050,1.028417,0.003948,0.535931,0.002228,0.025207,0.001615,0.763661,0.010087,0.777583,0.002758,0.910500,0.001700,2
edl_l01,edl_fixed_l01,cifar100,eval,maxp,0.931050,0.000050,1.028417,0.003948,0.535931,0.002228,0.025207,0.001615,0.770739,0.007710,0.781243,0.001413,0.895650,0.000350,2
edl_l01,edl_fixed_l01,cifar100,eval,vacuity,0.931050,0.000050,1.028417,0.003948,0.535931,0.002228,0.025207,0.001615,0.763661,0.010087,0.777583,0.002758,0.910500,0.001700,2
edl_l01,edl_fixed_l01,svhn,eval,alpha0,0.931050,0.000050,1.028417,0.003948,0.535931,0.002228,0.025207,0.001615,0.807452,0.004786,0.913586,0.007318,0.934650,0.014850,2
edl_l01,edl_fixed_l01,svhn,eval,maxp,0.931050,0.000050,1.028417,0.003948,0.535931,0.002228,0.025207,0.001615,0.813330,0.003385,0.916153,0.007197,0.922850,0.023050,2
edl_l01,edl_fixed_l01,svhn,eval,vacuity,0.931050,0.000050,1.028417,0.003948,0.535931,0.002228,0.025207,0.001615,0.807452,0.004786,0.913586,0.007318,0.934650,0.014850,2
edl_l01,edl_l01,cifar10,test,,0.910940,0.029053,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
edl_l01,edl_l01,cifar100,eval,,0.854060,0.001381,nan,nan,nan,nan,nan,nan,0.763926,0.008506,nan,nan,0.792960,0.039610,5
edl_l01,edl_l01,svhn,eval,,0.854060,0.001381,nan,nan,nan,nan,nan,nan,0.791553,0.026644,nan,nan,0.570740,0.085547,5
edl_l1,cifar_fixed_l1_matched,cifar10,conf_eval,maxalpha,0.336900,0.067548,1.774899,0.142792,0.048929,0.029836,0.504894,0.091041,nan,nan,0.504269,0.128916,nan,nan,5
edl_l1,cifar_fixed_l1_matched,cifar10,conf_eval,maxp,0.336900,0.067548,1.774899,0.142792,0.048929,0.029836,0.504894,0.091041,nan,nan,0.564190,0.089896,nan,nan,5
edl_l1,cifar_fixed_l1_matched,cifar10,test,vacuity,0.336900,0.067548,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
edl_l1,cifar_fixed_l1_matched,cifar100,eval,alpha0,0.336900,0.067548,1.774899,0.142792,0.048929,0.029836,0.504894,0.091041,0.532238,0.055705,0.519531,0.044067,0.894160,0.042712,5
edl_l1,cifar_fixed_l1_matched,cifar100,eval,maxp,0.336900,0.067548,1.774899,0.142792,0.048929,0.029836,0.504894,0.091041,0.558531,0.029381,0.543813,0.022530,0.920260,0.027796,5
edl_l1,cifar_fixed_l1_matched,cifar100,eval,vacuity,0.336900,0.067548,1.774899,0.142792,0.048929,0.029836,0.504894,0.091041,0.532238,0.055705,0.519531,0.044067,0.894160,0.042712,5
edl_l1,cifar_fixed_l1_matched,svhn,eval,alpha0,0.336900,0.067548,1.774899,0.142792,0.048929,0.029836,0.504894,0.091041,0.384231,0.149582,0.637563,0.085066,0.842260,0.125296,5
edl_l1,cifar_fixed_l1_matched,svhn,eval,maxp,0.336900,0.067548,1.774899,0.142792,0.048929,0.029836,0.504894,0.091041,0.671279,0.044408,0.789724,0.027116,0.615500,0.052069,5
edl_l1,cifar_fixed_l1_matched,svhn,eval,vacuity,0.336900,0.067548,1.774899,0.142792,0.048929,0.029836,0.504894,0.091041,0.384232,0.149582,0.637563,0.085066,0.842260,0.125296,5
edl_l1,edl_fixed_l1,cifar10,test,vacuity,0.637800,0.037361,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
