method,method_variant,seed,metric_family,dataset,score_type,timestamp,way,shot,episodes,eval_split,query_per_class_mean,accuracy,accuracy_ci95,aupr,aupr_ci95,auroc,auroc_ci95,fpr95,fpr95_ci95
info_edl,info_edl,0,confidence,miniimagenet,maxalpha,20260317T064804034499Z,5,1,1,test,1.000000,0.400000,0.000000,0.450000,0.000000,nan,nan,nan,nan
info_edl,info_edl,0,confidence,miniimagenet,maxalpha,20260317T064738086335Z,5,5,200,test,5.000000,0.425800,0.018626,0.600134,0.025834,nan,nan,nan,nan
info_edl,info_edl,0,confidence,miniimagenet,maxp,20260317T064804034499Z,5,1,1,test,1.000000,0.400000,0.000000,0.366667,0.000000,nan,nan,nan,nan
info_edl,info_edl,0,confidence,miniimagenet,maxp,20260317T064738086335Z,5,5,200,test,5.000000,0.425800,0.018626,0.598300,0.026400,nan,nan,nan,nan
info_edl,info_edl,0,ood,cub,alpha0,20260317T064804034499Z,5,1,1,test,1.000000,0.400000,0.000000,0.586667,0.000000,0.560000,0.000000,1.000000,0.000000
info_edl,info_edl,0,ood,cub,alpha0,20260317T064738086335Z,5,5,200,test,5.000000,0.425800,0.018626,0.471803,0.010289,0.445832,0.017430,0.813400,0.018060
info_edl,info_edl,0,ood,cub,maxp,20260317T064804034499Z,5,1,1,test,1.000000,0.400000,0.000000,0.697778,0.000000,0.640000,0.000000,0.800000,0.000000
info_edl,info_edl,0,ood,cub,maxp,20260317T064738086335Z,5,5,200,test,5.000000,0.425800,0.018626,0.530602,0.011331,0.516952,0.015479,0.825000,0.016505
info_edl,info_edl,0,ood,cub,vacuity,20260317T064804034499Z,5,1,1,test,1.000000,0.400000,0.000000,0.586667,0.000000,0.560000,0.000000,1.000000,0.000000
info_edl,info_edl,0,ood,cub,vacuity,20260317T064738086335Z,5,5,200,test,5.000000,0.425800,0.018626,0.471803,0.010289,0.445832,0.017430,0.813400,0.018060
