n_shots,n_ways,n_query,source_dataset,target_dataset,ood_dataset,split,loss_type,fisher_coeff,act_type,lbfgs_iters,backbone_arch,backbone_method,rng_seed,task_id,id_accuracy,id_max_p_apr,id_max_p_auroc,id_max_alp_apr,id_max_alp_auroc,id_diff_ent_apr,id_diff_ent_auroc,id_mi_apr,id_mi_auroc,ood_max_p_apr,ood_max_p_auroc,ood_alpha0_apr,ood_alpha0_auroc,ood_diff_entropy_apr,ood_mi_apr,ood_diff_entropy_auroc,ood_mi_auroc
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,0,0.75,0.9352525395402339,0.8138666666666667,0.9181345845747405,0.7968,0.8564832450384613,0.6784,0.7762735345345513,0.5184,0.4389310861470431,0.275,0.4847956050907496,0.5062,0.4400801741732303,0.4745622590277312,0.4084,0.4951
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,1,0.65,0.8740878497770059,0.7450549450549451,0.8176578164904513,0.6483516483516485,0.7073952013625444,0.5054945054945055,0.5799015179671937,0.34681318681318685,0.6793055284796676,0.6041000000000001,0.4672041682216226,0.44980000000000003,0.5550716746149211,0.47143353012367306,0.5479,0.4572
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,2,0.88,0.9508766273908197,0.7272727272727273,0.9207826312620407,0.5871212121212122,0.857013032754119,0.3570075757575758,0.8373951280774878,0.2935606060606061,0.7183653514997078,0.7166000000000001,0.47163716273952583,0.44720000000000004,0.6271065527283943,0.4869516127101948,0.6215000000000002,0.4647
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,3,0.9,0.9736497444665233,0.7911111111111111,0.9596979432261294,0.7122222222222222,0.9338741038920158,0.5833333333333334,0.8815493475260352,0.42000000000000004,0.5706290433434549,0.4613,0.4803159490201194,0.45409999999999995,0.4693585307193402,0.47979763333851105,0.3911,0.4504
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,4,0.72,0.9089218564311548,0.8129960317460317,0.8863188940498246,0.7470238095238095,0.8082200839676512,0.5793650793650794,0.745664989065563,0.45535714285714285,0.6617897270741382,0.6222,0.5311133879036523,0.5015,0.6524898955346831,0.5529130200496517,0.6242000000000002,0.5142
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,5,0.89,0.9781303676928832,0.8365679264555669,0.9629628357861133,0.7568947906026557,0.9254780855284859,0.5934627170582227,0.8693138838314257,0.3983656792645557,0.5528405703955686,0.43400000000000005,0.5977795205215057,0.5448000000000001,0.6224001014204681,0.5988888410953096,0.5887000000000001,0.5503
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,6,0.83,0.9774287436284885,0.8894401133947555,0.9691059986036963,0.8497519489723602,0.9359205126931182,0.7221828490432317,0.8697635276802567,0.5435861091424522,0.5455659211804749,0.5025000000000001,0.42972718287556705,0.4254,0.4524640359030695,0.430858338864901,0.4469,0.4282
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,7,0.69,0.882211920781955,0.772323515661524,0.8479298680076044,0.7438055165965405,0.8095591968106398,0.6909770920991118,0.7441053799904543,0.6236559139784947,0.7212073414833298,0.6429,0.34523484309451913,0.1949,0.4225999667484911,0.3487558248770661,0.33949999999999997,0.20540000000000003
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,8,0.81,0.9398377466703229,0.797270955165692,0.9299500945913941,0.7628330084470436,0.8950719944153553,0.6809616634178038,0.8636120693821638,0.5607537361923327,0.8023194455381709,0.7539,0.5121403990465039,0.45940000000000003,0.6753096693297435,0.5311361262633612,0.6113999999999999,0.4802
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,9,0.83,0.9707395896820945,0.8525868178596739,0.9584409256326081,0.8015591778880227,0.9108810847980645,0.6506024096385542,0.8054890020454827,0.4138908575478384,0.6247604868676853,0.5415000000000001,0.37174718787444033,0.2444,0.44343492293896347,0.3725564224387868,0.3593,0.24770000000000003
